rango_edad,total
18-18,1288100.9051045522
19-19,508161.76836459566
20-24,5492506.774201431
25-29,5099684.914893428
30-34,4975420.225863139
35-39,4463182.087193584
40-44,4028625.0231251726
45-49,4446922.435026707
50-54,3406741.8277574605
55-59,3707127.317052605
60-64,2999953.6507897424
65-100,8371696.850403942
