rango_edad,total
18-18,1065559.6389000164
19-19,365531.53971805604
20-24,5601681.155787722
25-29,6332816.690398466
30-34,6274665.563549676
35-39,4321913.855297772
40-44,4748816.04340468
45-49,4684076.53891362
50-54,4905876.794283338
55-59,3015043.4675321
60-64,3824052.47517029
65-100,6367472.631968078
