rango_edad,total
18-18,2029656.955384882
19-19,1018870.9435723547
20-24,4341931.557421403
25-29,3785498.991718543
30-34,4435679.436450521
35-39,5207640.370283438
40-44,4186376.645787858
45-49,3683891.833997379
50-54,4330660.918500368
55-59,3460015.538751911
60-64,3236628.7881758283
65-100,7721148.92733313
