rango_edad,total
18-18,1540258.6725379492
19-19,1453077.8166081272
20-24,5840086.821537139
25-29,5648364.006324995
30-34,5396671.068550156
35-39,5157486.473863309
40-44,5081698.241423636
45-49,5257775.304764551
50-54,5661320.517727284
55-59,2241469.2938389317
60-64,2301369.602050129
65-100,4710457.40099744
