rango_edad,total
18-18,665957.0302107923
19-19,1263187.6042703423
20-24,5723046.612836876
25-29,5820223.313673656
30-34,5252307.026802229
35-39,5413048.402027107
40-44,4853226.502959975
45-49,4344904.043741227
50-54,4249710.631973529
55-59,4333717.817499353
60-64,2509865.828257087
65-100,7032001.265597086
