rango_edad,total
18-18,99844.47771937153
20-24,94575.33269471917
25-29,410023.89448680246
30-34,1047989.1539007742
35-39,1050596.6648807484
40-44,1488420.0873900268
45-49,1778567.3595634461
50-54,4028417.55771269
55-59,4427567.977811563
60-64,3250908.2148862365
65-100,2539697.69967321
