rango_edad,total
18-18,1346183.62578241
19-19,693780.6340440671
20-24,5808331.256928031
25-29,5701760.232014568
30-34,5578232.78508593
35-39,5137893.61103434
40-44,4847461.5126031805
45-49,4660707.322241427
50-54,4317622.966480677
55-59,3673411.651124524
60-64,3103677.517569054
65-100,7088267.960282686
