rango_edad,total
18-18,555127.3553271148
19-19,1077342.830664705
20-24,4507563.600217588
25-29,7157683.714626078
30-34,3639646.4708555695
35-39,6388695.946563025
40-44,4082317.3161059483
45-49,4583926.300849913
50-54,3192363.9189563137
55-59,3870275.933193549
60-64,2691498.0712710703
65-100,5824211.14644531
