rango_edad,total
18-18,1333333.286533462
19-19,687157.9739989822
20-24,5752886.349047493
25-29,5647332.6250415845
30-34,5524984.340872907
35-39,5088848.536750049
40-44,4801188.832011807
45-49,4616217.351420362
50-54,4276407.994907924
55-59,3638346.163018802
60-64,3074050.571990277
65-100,7020605.090052676
