rango_edad,total
18-18,1332068.252443984
19-19,660650.7316830476
20-24,5370915.499399127
25-29,5132839.85349815
30-34,5278915.709180653
35-39,5760069.510563968
40-44,3794608.783824012
45-49,3086293.702612983
50-54,5268242.277765343
55-59,2536523.249533021
60-64,3187462.3513141493
65-100,6208372.998332322
