rango_edad,total
18-18,1638709.2258205765
19-19,708817.6222400697
20-24,4597663.692240507
25-29,7423497.80261746
30-34,7051293.210254311
35-39,5220568.120582078
40-44,4993209.645821712
45-49,5128110.210066712
50-54,3716906.4229756887
55-59,3169830.080902951
60-64,3008335.8006964913
65-100,4983216.2584038265
