rango_edad,total
18-18,353158.09898895724
19-19,80225.50624928933
20-24,2830114.6248703497
25-29,8149905.664096186
30-34,4168914.3553479733
35-39,5278597.511126558
40-44,5419307.401007592
45-49,6381568.24943199
50-54,6428499.9338498935
55-59,7029986.020330642
60-64,3288722.1326584173
65-100,2418140.415519636
