rango_edad,total
18-18,1339877.0409041129
19-19,682870.4986989513
20-24,5787697.736904091
25-29,5682822.251307489
30-34,5334900.258490998
35-39,4828166.52210062
40-44,4493312.939722636
45-49,4259779.1488398975
50-54,3900185.9193666507
55-59,3240838.2117595836
60-64,2701535.305093569
65-100,5823733.091620524
