rango_edad,total_p
18-18,735951
19-19,1036046
20-24,5654035
25-29,5581314
30-34,5294085
35-39,4801784
40-44,4494860
45-49,4238908
50-54,3937030
55-59,3274096
60-64,2720584
65-100,5872020
