rango_edad,total
18-18,353998.211548561
19-19,221049.75325562945
20-24,3735597.1195530915
25-29,7165928.180877419
30-34,5655804.784675509
35-39,4978262.459557233
40-44,5838228.285818808
45-49,5022773.988934135
50-54,5435830.984643897
55-59,3845850.306640977
60-64,1462324.0534399461
65-100,3535370.957577311
