rango_edad,total
18-18,23922.741146159584
19-19,115173.971052315
20-24,1093534.0400097333
25-29,1333150.2229872493
30-34,2141042.5581969363
35-39,4715946.366161693
40-44,6850614.132481968
45-49,7860755.950943467
50-54,12130550.976091348
55-59,18168672.99662245
60-64,13835743.508179003
65-100,10592443.115408098
