rango_edad,total
18-18,1327086.9027701062
19-19,676351.9841342834
20-24,5732449.791553126
25-29,5628575.421660956
30-34,5283974.60699151
35-39,4782078.026763777
40-44,4450420.874686881
45-49,4219116.340186009
50-54,3862955.6996269734
55-59,3209901.9637808874
60-64,2675747.1106016887
65-100,5768141.161597497
