N_estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon
PUEBLA,5.0,2.0,52.0,61911.260146326706,MORENA-PT-Partido Verde,5,62600.16476198899
PUEBLA,1.0,2.0,35.0,63417.44023586462,PAN-PRI-PRD,5,64123.10455587227
HIDALGO,7.0,2.0,44.0,60081.229712259825,MORENA-PT-Partido Verde,5,60749.77104651173
HIDALGO,2.0,2.0,26.0,61787.81141374277,PAN-PRI-PRD,5,62475.34237941839
BAJA CALIFORNIA SUR,7.0,2.0,38.0,54759.729903192805,MORENA-PT-Partido Verde,5,55369.05735983913
NUEVO LEON,7.0,1.0,79.0,75277.40979533693,MORENA-PT-Partido Verde,5,76115.04344938534
NUEVO LEON,7.0,2.0,70.0,87068.36212584043,MORENA-PT-Partido Verde,5,88037.19713913012
NUEVO LEON,5.0,2.0,71.0,87068.36212584043,MORENA-PT-Partido Verde,5,88037.19713913012
NUEVO LEON,2.0,1.0,63.0,75277.40979533693,PAN-PRI-PRD,5,76115.04344938534
CIUDAD DE MEXICO,99.0,2.0,59.0,56480.93253318809,NS,5,57109.412312586224
CIUDAD DE MEXICO,99.0,2.0,56.0,56480.93253318809,NS,5,57109.412312586224
CIUDAD DE MEXICO,7.0,2.0,68.0,76959.46456900216,MORENA-PT-Partido Verde,5,77815.81493620801
MICHOACAN  DE OCAMPO,7.0,1.0,20.0,54397.05535423289,MORENA-PT-Partido Verde,5,55002.34722558873
MICHOACAN  DE OCAMPO,4.0,2.0,42.0,54385.91627756178,MORENA-PT-Partido Verde,5,54991.08420116862
BAJA CALIFORNIA SUR,4.0,1.0,34.0,64328.347424948915,MORENA-PT-Partido Verde,5,65044.14767443881
CIUDAD DE MEXICO,1.0,2.0,70.0,76959.46456900216,PAN-PRI-PRD,5,77815.81493620801
NUEVO LEON,7.0,2.0,66.0,87068.36212584043,MORENA-PT-Partido Verde,5,88037.19713913012
NUEVO LEON,1.0,2.0,66.0,87068.36212584043,PAN-PRI-PRD,5,88037.19713913012
CIUDAD DE MEXICO,7.0,1.0,24.0,56268.56827326525,MORENA-PT-Partido Verde,5,56894.685013718336
BAJA CALIFORNIA SUR,7.0,2.0,19.0,70218.84983018083,MORENA-PT-Partido Verde,5,71000.19541481564
CIUDAD DE MEXICO,7.0,1.0,37.0,60795.569862987664,MORENA-PT-Partido Verde,5,61472.05986806013
MICHOACAN  DE OCAMPO,7.0,2.0,42.0,58692.54861840981,MORENA-PT-Partido Verde,5,59345.63769384846
MICHOACAN  DE OCAMPO,2.0,1.0,43.0,63427.55612311029,PAN-PRI-PRD,5,64133.333005540335
BAJA CALIFORNIA SUR,7.0,2.0,34.0,56315.15667255981,MORENA-PT-Partido Verde,5,56941.791815694975
NUEVO LEON,7.0,2.0,55.0,63899.90255968519,MORENA-PT-Partido Verde,5,64610.93537842762
NUEVO LEON,1.0,2.0,36.0,63646.607694492355,PAN-PRI-PRD,5,64354.8220275289
NUEVO LEON,5.0,2.0,28.0,65454.46243669847,MORENA-PT-Partido Verde,5,66182.79329576613
BAJA CALIFORNIA SUR,1.0,2.0,46.0,54977.65759653357,PAN-PRI-PRD,5,55589.409998068244
CIUDAD DE MEXICO,99.0,1.0,32.0,77332.15879663048,NS,5,78192.65624100836
CIUDAD DE MEXICO,99.0,1.0,30.0,77332.15879663048,NS,5,78192.65624100836
CIUDAD DE MEXICO,7.0,2.0,43.0,65829.26964624513,MORENA-PT-Partido Verde,5,66561.77109424977
BAJA CALIFORNIA SUR,1.0,1.0,38.0,59177.45818643282,PAN-PRI-PRD,5,59835.942991804935
CIUDAD DE MEXICO,99.0,2.0,30.0,67699.12197014563,NS,5,68452.42980932203
CIUDAD DE MEXICO,5.0,1.0,30.0,77332.15879663048,MORENA-PT-Partido Verde,5,78192.65624100836
MICHOACAN  DE OCAMPO,2.0,1.0,86.0,69418.04432827773,PAN-PRI-PRD,5,70190.47911695707
CIUDAD DE MEXICO,7.0,1.0,45.0,71140.03043515644,MORENA-PT-Partido Verde,5,71931.62626456298
CIUDAD DE MEXICO,1.0,2.0,36.0,65829.26964624513,PAN-PRI-PRD,5,66561.77109424977
CIUDAD DE MEXICO,7.0,2.0,22.0,84413.4112401941,MORENA-PT-Partido Verde,5,85352.70384205239
BAJA CALIFORNIA SUR,2.0,2.0,30.0,56315.15667255981,PAN-PRI-PRD,5,56941.791815694975
CIUDAD DE MEXICO,1.0,2.0,26.0,67699.12197014563,PAN-PRI-PRD,5,68452.42980932203
CIUDAD DE MEXICO,99.0,2.0,54.0,66091.25086700125,NS,5,66826.66745631893
BAJA CALIFORNIA SUR,7.0,1.0,48.0,66074.90195986454,MORENA-PT-Partido Verde,5,66810.13663013291
MICHOACAN  DE OCAMPO,2.0,2.0,35.0,60359.685425783406,PAN-PRI-PRD,5,61031.32521782555
MICHOACAN  DE OCAMPO,7.0,1.0,28.0,68948.37986702038,MORENA-PT-Partido Verde,5,69715.5885625075
MICHOACAN  DE OCAMPO,7.0,2.0,38.0,58692.54861840981,MORENA-PT-Partido Verde,5,59345.63769384846
MICHOACAN  DE OCAMPO,7.0,1.0,23.0,58704.56975998159,MORENA-PT-Partido Verde,5,59357.79259816218
MICHOACAN  DE OCAMPO,7.0,1.0,35.0,68948.37986702038,MORENA-PT-Partido Verde,5,69715.5885625075
BAJA CALIFORNIA SUR,1.0,2.0,38.0,54759.729903192805,PAN-PRI-PRD,5,55369.05735983913
MICHOACAN  DE OCAMPO,99.0,1.0,30.0,68948.37986702038,NS,5,69715.5885625075
MICHOACAN  DE OCAMPO,99.0,1.0,34.0,68948.37986702038,NS,5,69715.5885625075
CHIAPAS,7.0,2.0,42.0,67730.29187044091,MORENA-PT-Partido Verde,5,68483.94654617229
CHIAPAS,7.0,2.0,51.0,67999.83860309857,MORENA-PT-Partido Verde,5,68756.49260379645
HIDALGO,7.0,2.0,26.0,61787.81141374277,MORENA-PT-Partido Verde,5,62475.34237941839
HIDALGO,1.0,2.0,35.0,61787.81141374277,PAN-PRI-PRD,5,62475.34237941839
HIDALGO,6.0,1.0,23.0,60093.53527719403,Movimiento Ciudadano,5,60762.21353904944
HIDALGO,7.0,1.0,38.0,64928.26873639158,MORENA-PT-Partido Verde,5,65650.74448496696
CHIAPAS,7.0,1.0,22.0,67744.1640815893,MORENA-PT-Partido Verde,5,68497.9731174527
CHIAPAS,7.0,2.0,21.0,86851.10759699909,MORENA-PT-Partido Verde,5,87817.52515589779
YUCATAN,7.0,2.0,26.0,30082.087106473908,MORENA-PT-Partido Verde,5,30416.819247403113
CHIAPAS,2.0,1.0,41.0,73194.4171785298,PAN-PRI-PRD,5,74008.87276731645
HIDALGO,99.0,1.0,39.0,51341.11914488085,NS,5,51912.406724370936
CHIAPAS,1.0,2.0,39.0,67730.29187044091,PAN-PRI-PRD,5,68483.94654617229
YUCATAN,99.0,2.0,23.0,37509.07716354036,NS,5,37926.45158502884
CHIAPAS,3.0,1.0,60.0,81725.61119209354,PAN-PRI-PRD,5,82634.99586032654
YUCATAN,99.0,1.0,38.0,31611.053881190794,NS,5,31962.799280545158
CHIAPAS,1.0,2.0,40.0,67730.29187044091,PAN-PRI-PRD,5,68483.94654617229
CHIAPAS,7.0,2.0,33.0,69654.1419197119,MORENA-PT-Partido Verde,5,70429.20383502542
CHIAPAS,7.0,1.0,31.0,79565.36225319986,MORENA-PT-Partido Verde,5,80450.7092025839
HIDALGO,7.0,2.0,42.0,47508.39092216826,MORENA-PT-Partido Verde,5,48037.03061891513
YUCATAN,7.0,1.0,36.0,31611.053881190794,MORENA-PT-Partido Verde,5,31962.799280545158
PUEBLA,99.0,2.0,28.0,53440.80692760757,NS,5,54035.458344331004
PUEBLA,7.0,2.0,42.0,51964.76980752837,MORENA-PT-Partido Verde,5,52542.996929503024
PUEBLA,2.0,1.0,66.0,61460.82899654947,PAN-PRI-PRD,5,62144.7215336757
PUEBLA,7.0,2.0,56.0,52171.574377951896,MORENA-PT-Partido Verde,5,52752.102674587964
PUEBLA,7.0,1.0,58.0,62702.41063039227,MORENA-PT-Partido Verde,5,63400.1186078157
PUEBLA,1.0,2.0,47.0,52171.574377951896,PAN-PRI-PRD,5,52752.102674587964
PUEBLA,7.0,1.0,65.0,61460.82899654947,MORENA-PT-Partido Verde,5,62144.7215336757
YUCATAN,7.0,1.0,32.0,34362.52449592748,MORENA-PT-Partido Verde,5,34744.88630983828
HIDALGO,5.0,1.0,72.0,56190.089962557424,MORENA-PT-Partido Verde,5,56815.33345200014
PUEBLA,3.0,2.0,40.0,51964.76980752837,PAN-PRI-PRD,5,52542.996929503024
PUEBLA,4.0,2.0,50.0,52171.574377951896,MORENA-PT-Partido Verde,5,52752.102674587964
PUEBLA,7.0,2.0,27.0,53440.80692760757,MORENA-PT-Partido Verde,5,54035.458344331004
YUCATAN,7.0,2.0,56.0,29367.630003143957,MORENA-PT-Partido Verde,5,29694.41217188695
GUANAJUATO,7.0,1.0,71.0,68595.81264339441,MORENA-PT-Partido Verde,5,69359.09822074255
HIDALGO,99.0,2.0,44.0,47508.39092216826,NS,5,48037.03061891513
HIDALGO,7.0,2.0,49.0,47697.460409295076,MORENA-PT-Partido Verde,5,48228.20393726836
HIDALGO,99.0,1.0,43.0,51341.11914488085,NS,5,51912.406724370936
HIDALGO,7.0,1.0,65.0,56190.089962557424,MORENA-PT-Partido Verde,5,56815.33345200014
GUANAJUATO,2.0,1.0,30.0,68131.71118819762,PAN-PRI-PRD,5,68889.83257354151
NUEVO LEON,1.0,2.0,72.0,87068.36212584043,PAN-PRI-PRD,5,88037.19713913012
YUCATAN,2.0,2.0,53.0,29367.630003143957,PAN-PRI-PRD,5,29694.41217188695
HIDALGO,7.0,1.0,50.0,57325.196417197054,MORENA-PT-Partido Verde,5,57963.07056662022
HIDALGO,7.0,2.0,22.0,60920.398506982994,MORENA-PT-Partido Verde,5,61598.27751671814
YUCATAN,7.0,1.0,61.0,34596.59608087188,MORENA-PT-Partido Verde,5,34981.56247745282
GUANAJUATO,5.0,2.0,76.0,79340.2040770183,MORENA-PT-Partido Verde,5,80223.04562582642
HIDALGO,7.0,2.0,32.0,48857.846500939915,MORENA-PT-Partido Verde,5,49401.50198277417
HIDALGO,1.0,2.0,67.0,64991.33158333723,PAN-PRI-PRD,5,65714.50905056985
MEXICO,1.0,1.0,23.0,67147.48327432577,PAN-PRI-PRD,5,67894.65286913709
NUEVO LEON,7.0,1.0,89.0,75277.40979533693,MORENA-PT-Partido Verde,5,76115.04344938534
NUEVO LEON,99.0,2.0,59.0,63899.90255968519,NS,5,64610.93537842762
NUEVO LEON,7.0,1.0,60.0,76798.10274678403,MORENA-PT-Partido Verde,5,77652.65759401735
NUEVO LEON,99.0,1.0,21.0,63659.643503971914,NS,5,64368.002890255615
NUEVO LEON,99.0,2.0,63.0,87068.36212584043,NS,5,88037.19713913012
MEXICO,7.0,1.0,50.0,81005.78381919285,MORENA-PT-Partido Verde,5,81907.15875868671
GUANAJUATO,1.0,1.0,34.0,68131.71118819762,PAN-PRI-PRD,5,68889.83257354151
HIDALGO,7.0,2.0,42.0,47508.39092216826,MORENA-PT-Partido Verde,5,48037.03061891513
MEXICO,1.0,1.0,30.0,78864.56204076714,PAN-PRI-PRD,5,79742.11098216586
GUANAJUATO,7.0,1.0,72.0,68595.81264339441,MORENA-PT-Partido Verde,5,69359.09822074255
HIDALGO,5.0,2.0,53.0,47697.460409295076,MORENA-PT-Partido Verde,5,48228.20393726836
GUANAJUATO,2.0,2.0,38.0,57997.356559809115,PAN-PRI-PRD,5,58642.71003082282
GUANAJUATO,99.0,2.0,59.0,58228.16905938289,NS,5,58876.090848275
MEXICO,7.0,1.0,73.0,79401.77382318482,MORENA-PT-Partido Verde,5,80285.30047648314
MEXICO,4.0,2.0,47.0,67400.90585159809,MORENA-PT-Partido Verde,5,68150.89535320477
MEXICO,5.0,2.0,34.0,69040.63830366835,MORENA-PT-Partido Verde,5,69808.87358563895
HIDALGO,1.0,2.0,25.0,60920.398506982994,PAN-PRI-PRD,5,61598.27751671814
YUCATAN,6.0,1.0,28.0,34362.52449592748,Movimiento Ciudadano,5,34744.88630983828
GUANAJUATO,99.0,1.0,24.0,58009.23531529693,NS,5,58654.72096468117
GUANAJUATO,1.0,1.0,61.0,68595.81264339441,PAN-PRI-PRD,5,69359.09822074255
MEXICO,99.0,2.0,25.0,86086.13559246901,NS,5,87044.0410851696
HIDALGO,7.0,1.0,40.0,51341.11914488085,MORENA-PT-Partido Verde,5,51912.406724370936
MEXICO,7.0,1.0,65.0,79401.77382318482,MORENA-PT-Partido Verde,5,80285.30047648314
CHIAPAS,1.0,2.0,19.0,70125.52108098353,PAN-PRI-PRD,5,70905.82816945553
CHIAPAS,7.0,2.0,42.0,54686.9480631227,MORENA-PT-Partido Verde,5,55295.465655045824
HIDALGO,7.0,1.0,50.0,57325.196417197054,MORENA-PT-Partido Verde,5,57963.07056662022
MEXICO,1.0,2.0,68.0,91838.73907812624,PAN-PRI-PRD,5,92860.65546454758
HIDALGO,7.0,1.0,25.0,47518.12137529334,MORENA-PT-Partido Verde,5,48046.86934562492
MEXICO,7.0,2.0,47.0,67400.90585159809,MORENA-PT-Partido Verde,5,68150.89535320477
NUEVO LEON,99.0,2.0,50.0,63899.90255968519,NS,5,64610.93537842762
NUEVO LEON,7.0,2.0,40.0,63646.607694492355,MORENA-PT-Partido Verde,5,64354.8220275289
NUEVO LEON,6.0,1.0,37.0,68781.2827456899,Movimiento Ciudadano,5,69546.63210286156
CHIAPAS,7.0,2.0,47.0,54904.58610604788,MORENA-PT-Partido Verde,5,55515.525419834856
YUCATAN,4.0,1.0,23.0,29257.20981828527,MORENA-PT-Partido Verde,5,29582.76330948509
CHIAPAS,5.0,1.0,45.0,59098.80468859609,MORENA-PT-Partido Verde,5,59756.41429359964
CHIAPAS,7.0,1.0,75.0,64680.45900520526,MORENA-PT-Partido Verde,5,65400.17730275771
CHIAPAS,7.0,2.0,66.0,74811.57551039488,MORENA-PT-Partido Verde,5,75644.02569073798
CHIAPAS,7.0,2.0,51.0,54904.58610604788,MORENA-PT-Partido Verde,5,55515.525419834856
CHIAPAS,1.0,2.0,55.0,54904.58610604788,PAN-PRI-PRD,5,55515.525419834856
CHIAPAS,7.0,1.0,57.0,65987.08098347198,MORENA-PT-Partido Verde,5,66721.33844416901
CHIAPAS,7.0,1.0,47.0,65987.08098347198,MORENA-PT-Partido Verde,5,66721.33844416901
CIUDAD DE MEXICO,7.0,1.0,69.0,66537.47711042713,MORENA-PT-Partido Verde,5,67277.85898906374
PUEBLA,99.0,2.0,55.0,68494.263525021,NS,5,69256.41913576536
GUANAJUATO,7.0,1.0,53.0,69981.52940847972,MORENA-PT-Partido Verde,5,70760.23425969196
NUEVO LEON,7.0,2.0,63.0,87068.36212584043,MORENA-PT-Partido Verde,5,88037.19713913012
CIUDAD DE MEXICO,99.0,1.0,73.0,66537.47711042713,NS,5,67277.85898906374
CIUDAD DE MEXICO,7.0,2.0,54.0,56480.93253318809,MORENA-PT-Partido Verde,5,57109.412312586224
CIUDAD DE MEXICO,7.0,2.0,60.0,56480.93253318809,MORENA-PT-Partido Verde,5,57109.412312586224
MEXICO,1.0,1.0,72.0,79401.77382318482,PAN-PRI-PRD,5,80285.30047648314
MEXICO,7.0,1.0,49.0,81005.78381919285,MORENA-PT-Partido Verde,5,81907.15875868671
PUEBLA,4.0,2.0,25.0,87482.59956778395,MORENA-PT-Partido Verde,5,88456.04392168568
PUEBLA,1.0,2.0,71.0,93328.52009545619,PAN-PRI-PRD,5,94367.01370897223
PUEBLA,7.0,2.0,37.0,68222.75692561973,MORENA-PT-Partido Verde,5,68981.89140338976
NUEVO LEON,7.0,2.0,72.0,74625.68752655925,MORENA-PT-Partido Verde,5,75456.0692771893
CIUDAD DE MEXICO,7.0,1.0,66.0,66537.47711042713,MORENA-PT-Partido Verde,5,67277.85898906374
MEXICO,1.0,2.0,37.0,67133.73324760844,PAN-PRI-PRD,5,67880.74984186949
CIUDAD DE MEXICO,1.0,2.0,66.0,76959.46456900216,PAN-PRI-PRD,5,77815.81493620801
GUANAJUATO,5.0,2.0,54.0,27545.792164618317,MORENA-PT-Partido Verde,5,27852.302213346597
MEXICO,4.0,1.0,64.0,79401.77382318482,MORENA-PT-Partido Verde,5,80285.30047648314
GUANAJUATO,4.0,2.0,36.0,27436.602519040218,MORENA-PT-Partido Verde,5,27741.89758279414
CIUDAD DE MEXICO,7.0,1.0,52.0,67881.61305670894,MORENA-PT-Partido Verde,5,68636.95152733356
MEXICO,7.0,1.0,48.0,81005.78381919285,MORENA-PT-Partido Verde,5,81907.15875868671
MEXICO,1.0,2.0,67.0,91838.73907812624,PAN-PRI-PRD,5,92860.65546454758
MEXICO,5.0,2.0,20.0,86086.13559246901,MORENA-PT-Partido Verde,5,87044.0410851696
MEXICO,2.0,2.0,22.0,86086.13559246901,PAN-PRI-PRD,5,87044.0410851696
MEXICO,5.0,1.0,54.0,81005.78381919285,MORENA-PT-Partido Verde,5,81907.15875868671
CIUDAD DE MEXICO,99.0,2.0,47.0,56480.93253318809,NS,5,57109.412312586224
GUANAJUATO,7.0,1.0,27.0,32230.825501243777,MORENA-PT-Partido Verde,5,32589.467279846474
PUEBLA,4.0,2.0,59.0,68494.263525021,MORENA-PT-Partido Verde,5,69256.41913576536
CIUDAD DE MEXICO,99.0,2.0,24.0,72138.87046483722,NS,5,72941.5806780429
MEXICO,5.0,2.0,38.0,67133.73324760844,MORENA-PT-Partido Verde,5,67880.74984186949
PUEBLA,3.0,2.0,35.0,70160.59523471518,PAN-PRI-PRD,5,70941.29260350676
PUEBLA,1.0,1.0,49.0,82319.83582207483,PAN-PRI-PRD,5,83235.83260076023
PUEBLA,99.0,1.0,31.0,80143.87977365138,NS,5,81035.66405590731
PUEBLA,7.0,1.0,66.0,80689.80604761984,MORENA-PT-Partido Verde,5,81587.66501045987
CIUDAD DE MEXICO,1.0,2.0,29.0,57855.003353568085,PAN-PRI-PRD,5,58498.77281901313
GUANAJUATO,99.0,2.0,52.0,27545.792164618317,NS,5,27852.302213346597
PUEBLA,99.0,2.0,52.0,68494.263525021,NS,5,69256.41913576536
GUANAJUATO,7.0,1.0,22.0,27442.221959512543,MORENA-PT-Partido Verde,5,27747.57955241657
GUANAJUATO,99.0,1.0,23.0,27442.221959512543,NS,5,27747.57955241657
GUANAJUATO,1.0,1.0,50.0,33105.91240611021,PAN-PRI-PRD,5,33474.29153146442
GUANAJUATO,7.0,2.0,29.0,28215.927510124755,MORENA-PT-Partido Verde,5,28529.894349936705
NUEVO LEON,7.0,1.0,34.0,64083.22046720017,MORENA-PT-Partido Verde,5,64796.293117668225
NUEVO LEON,7.0,1.0,26.0,64083.22046720017,MORENA-PT-Partido Verde,5,64796.293117668225
NUEVO LEON,1.0,2.0,38.0,54551.064726243036,PAN-PRI-PRD,5,55158.070304717454
NUEVO LEON,99.0,2.0,40.0,54551.064726243036,NS,5,55158.070304717454
NUEVO LEON,99.0,2.0,41.0,54551.064726243036,NS,5,55158.070304717454
NUEVO LEON,6.0,2.0,41.0,54551.064726243036,Movimiento Ciudadano,5,55158.070304717454
NUEVO LEON,7.0,1.0,61.0,64519.74430248697,MORENA-PT-Partido Verde,5,65237.674280753956
MEXICO,7.0,2.0,45.0,63112.73078815214,MORENA-PT-Partido Verde,5,63815.00451742608
MEXICO,1.0,1.0,30.0,74140.93678429199,PAN-PRI-PRD,5,74965.92457228899
MEXICO,4.0,1.0,22.0,63125.65725138546,MORENA-PT-Partido Verde,5,63828.074817179026
CIUDAD DE MEXICO,2.0,1.0,62.0,66397.11677639085,PAN-PRI-PRD,5,67135.936824728
MEXICO,4.0,1.0,40.0,68204.33544595882,MORENA-PT-Partido Verde,5,68963.26494256167
MEXICO,7.0,1.0,19.0,63125.65725138546,MORENA-PT-Partido Verde,5,63828.074817179026
MEXICO,6.0,1.0,34.0,74140.93678429199,Movimiento Ciudadano,5,74965.92457228899
NUEVO LEON,7.0,2.0,33.0,56100.56445026784,MORENA-PT-Partido Verde,5,56724.81176327205
NUEVO LEON,6.0,1.0,54.0,65823.11965316272,Movimiento Ciudadano,5,66555.5526684039
CIUDAD DE MEXICO,5.0,2.0,43.0,56138.37212255039,MORENA-PT-Partido Verde,5,56763.04013253091
MEXICO,7.0,2.0,28.0,64905.42098456637,MORENA-PT-Partido Verde,5,65627.6424995556
CIUDAD DE MEXICO,99.0,1.0,50.0,67738.41727746789,NS,5,68492.16236696878
CIUDAD DE MEXICO,7.0,1.0,41.0,60667.32204139182,MORENA-PT-Partido Verde,5,61342.38499561703
CIUDAD DE MEXICO,5.0,2.0,29.0,57732.95863607902,MORENA-PT-Partido Verde,5,58375.37007442211
MEXICO,7.0,2.0,60.0,63363.90097955765,MORENA-PT-Partido Verde,5,64068.96955267367
GUANAJUATO,7.0,2.0,30.0,28215.927510124755,MORENA-PT-Partido Verde,5,28529.894349936705
MEXICO,2.0,1.0,25.0,63125.65725138546,PAN-PRI-PRD,5,63828.074817179026
CIUDAD DE MEXICO,7.0,2.0,31.0,57732.95863607902,MORENA-PT-Partido Verde,5,58375.37007442211
CIUDAD DE MEXICO,1.0,1.0,31.0,65947.89112646683,PAN-PRI-PRD,5,66681.71251021576
MEXICO,1.0,2.0,38.0,63112.73078815214,PAN-PRI-PRD,5,63815.00451742608
CIUDAD DE MEXICO,6.0,2.0,35.0,57732.95863607902,Movimiento Ciudadano,5,58375.37007442211
CIUDAD DE MEXICO,99.0,1.0,49.0,67738.41727746789,NS,5,68492.16236696878
CIUDAD DE MEXICO,7.0,2.0,18.0,71986.69403141699,MORENA-PT-Partido Verde,5,72787.71093314541
GUANAJUATO,1.0,1.0,56.0,33105.91240611021,PAN-PRI-PRD,5,33474.29153146442
GUANAJUATO,1.0,2.0,30.0,69683.68522179291,PAN-PRI-PRD,5,70459.07587402953
PUEBLA,7.0,2.0,26.0,63417.44023586462,MORENA-PT-Partido Verde,5,64123.10455587227
MEXICO,7.0,2.0,72.0,82799.94608223598,MORENA-PT-Partido Verde,5,83721.28518755907
NUEVO LEON,7.0,2.0,65.0,87068.36212584043,MORENA-PT-Partido Verde,5,88037.19713913012
NUEVO LEON,99.0,2.0,67.0,87068.36212584043,NS,5,88037.19713913012
NUEVO LEON,7.0,1.0,47.0,76798.10274678403,MORENA-PT-Partido Verde,5,77652.65759401735
NUEVO LEON,7.0,1.0,62.0,75277.40979533693,MORENA-PT-Partido Verde,5,76115.04344938534
MEXICO,7.0,2.0,72.0,82799.94608223598,MORENA-PT-Partido Verde,5,83721.28518755907
MEXICO,6.0,2.0,32.0,62245.64041720867,Movimiento Ciudadano,5,62938.26577949206
MEXICO,1.0,1.0,48.0,73033.17314573129,PAN-PRI-PRD,5,73845.83452522257
MEXICO,2.0,2.0,53.0,60767.29086686028,PAN-PRI-PRD,5,61443.466203310076
MEXICO,7.0,1.0,34.0,71102.69098119572,MORENA-PT-Partido Verde,5,71893.87132362752
GUANAJUATO,1.0,1.0,46.0,81760.27452082977,PAN-PRI-PRD,5,82670.04489801305
PUEBLA,1.0,1.0,88.0,72934.68556744083,PAN-PRI-PRD,5,73746.25104697612
MEXICO,2.0,1.0,47.0,73033.17314573129,PAN-PRI-PRD,5,73845.83452522257
MEXICO,7.0,1.0,54.0,73033.17314573129,MORENA-PT-Partido Verde,5,73845.83452522257
CIUDAD DE MEXICO,7.0,1.0,42.0,60667.32204139182,MORENA-PT-Partido Verde,5,61342.38499561703
CIUDAD DE MEXICO,7.0,1.0,29.0,65947.89112646683,MORENA-PT-Partido Verde,5,66681.71251021576
CIUDAD DE MEXICO,7.0,2.0,73.0,76797.11912665494,MORENA-PT-Partido Verde,5,77651.66302886073
MEXICO,4.0,1.0,63.0,71587.03023786917,MORENA-PT-Partido Verde,5,72383.59996421401
MEXICO,5.0,2.0,47.0,60767.29086686028,MORENA-PT-Partido Verde,5,61443.466203310076
CIUDAD DE MEXICO,6.0,1.0,22.0,56149.87012927834,Movimiento Ciudadano,5,56774.66608092709
CIUDAD DE MEXICO,7.0,2.0,44.0,56138.37212255039,MORENA-PT-Partido Verde,5,56763.04013253091
PUEBLA,7.0,2.0,49.0,61911.260146326706,MORENA-PT-Partido Verde,5,62600.16476198899
GUERRERO,1.0,1.0,38.0,52876.94492683928,PAN-PRI-PRD,5,53465.322086924934
GUERRERO,99.0,2.0,45.0,48929.563908906726,NS,5,49474.01741121827
GUERRERO,1.0,1.0,35.0,57479.4286247908,PAN-PRI-PRD,5,58119.01896088896
GUERRERO,99.0,2.0,28.0,50319.38730014536,NS,5,50879.305771945765
PUEBLA,7.0,1.0,39.0,66640.72586478508,MORENA-PT-Partido Verde,5,67382.2566223699
PUEBLA,4.0,2.0,30.0,63417.44023586462,MORENA-PT-Partido Verde,5,64123.10455587227
CIUDAD DE MEXICO,1.0,2.0,39.0,56138.37212255039,PAN-PRI-PRD,5,56763.04013253091
GUANAJUATO,1.0,1.0,50.0,81760.27452082977,PAN-PRI-PRD,5,82670.04489801305
CIUDAD DE MEXICO,99.0,2.0,35.0,57732.95863607902,NS,5,58375.37007442211
PUEBLA,7.0,2.0,34.0,63417.44023586462,MORENA-PT-Partido Verde,5,64123.10455587227
PUEBLA,2.0,1.0,61.0,72934.68556744083,PAN-PRI-PRD,5,73746.25104697612
PUEBLA,99.0,2.0,37.0,61665.84812432816,NS,5,62352.02196897571
GUANAJUATO,1.0,2.0,51.0,68028.68024435555,PAN-PRI-PRD,5,68785.65517439226
GUANAJUATO,2.0,1.0,69.0,80141.3247196589,PAN-PRI-PRD,5,81033.08057108523
GUERRERO,99.0,1.0,73.0,63971.66052078935,NS,5,64683.491811255626
CIUDAD DE MEXICO,7.0,1.0,38.0,60667.32204139182,MORENA-PT-Partido Verde,5,61342.38499561703
CIUDAD DE MEXICO,99.0,2.0,19.0,71986.69403141699,NS,5,72787.71093314541
GUANAJUATO,99.0,2.0,29.0,69683.68522179291,NS,5,70459.07587402953
PUEBLA,1.0,2.0,23.0,79074.62174754933,PAN-PRI-PRD,5,79954.50808445938
PUEBLA,7.0,1.0,22.0,61678.47824361751,MORENA-PT-Partido Verde,5,62364.79262727935
GUANAJUATO,99.0,2.0,39.0,67759.01918539469,NS,5,68512.99351832285
GUERRERO,7.0,2.0,37.0,54087.66310904788,MORENA-PT-Partido Verde,5,54689.512282819225
CIUDAD DE MEXICO,7.0,2.0,25.0,71986.69403141699,MORENA-PT-Partido Verde,5,72787.71093314541
GUERRERO,7.0,1.0,67.0,63971.66052078935,MORENA-PT-Partido Verde,5,64683.491811255626
GUERRERO,3.0,2.0,30.0,55624.000107806736,PAN-PRI-PRD,5,56242.94455063183
GUERRERO,3.0,1.0,47.0,59040.03076595589,PAN-PRI-PRD,5,59696.98637641157
GUERRERO,1.0,2.0,27.0,50319.38730014536,PAN-PRI-PRD,5,50879.305771945765
GUERRERO,1.0,1.0,38.0,52876.94492683928,PAN-PRI-PRD,5,53465.322086924934
GUERRERO,7.0,1.0,24.0,48939.58544023634,MORENA-PT-Partido Verde,5,49484.150455044524
GUERRERO,7.0,2.0,64.0,73991.7555500222,MORENA-PT-Partido Verde,5,74815.08335499484
MEXICO,99.0,2.0,20.0,77613.51535348102,NS,5,78477.14353417735
MEXICO,7.0,1.0,38.0,65409.36757922481,MORENA-PT-Partido Verde,5,66137.19665468505
MEXICO,7.0,2.0,23.0,77613.51535348102,MORENA-PT-Partido Verde,5,78477.14353417735
GUERRERO,99.0,1.0,65.0,63971.66052078935,NS,5,64683.491811255626
MEXICO,4.0,1.0,79.0,71587.03023786917,MORENA-PT-Partido Verde,5,72383.59996421401
MEXICO,1.0,2.0,30.0,62245.64041720867,PAN-PRI-PRD,5,62938.26577949206
