estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon
2.0,7.0,1.0,69.0,64638.76826417931,MORENA-PT-Partido Verde,1,68783.17824033536
2.0,96.0,1.0,25.0,264868.90548485384,Ninguno,1,281851.36606916675
2.0,4.0,2.0,64.0,193142.09679152662,MORENA-PT-Partido Verde,1,205525.6872319727
2.0,7.0,1.0,38.0,114659.91961181747,MORENA-PT-Partido Verde,1,122011.50949302201
2.0,7.0,1.0,35.0,56805.663863369184,MORENA-PT-Partido Verde,1,60447.842796224555
2.0,7.0,1.0,37.0,79367.23372669582,MORENA-PT-Partido Verde,1,84455.98099199774
2.0,7.0,1.0,61.0,37725.39990649837,MORENA-PT-Partido Verde,1,40144.21957038748
2.0,98.0,1.0,70.0,64638.76826417931,NS,1,68783.17824033536
2.0,7.0,1.0,27.0,85594.1547499988,MORENA-PT-Partido Verde,1,91082.15024206517
2.0,98.0,2.0,58.0,86552.46667887685,NS,1,92101.9057538729
2.0,6.0,2.0,25.0,85372.26562510624,Movimiento Ciudadano,1,90846.03436862062
8.0,7.0,1.0,49.0,196206.4914098743,MORENA-PT-Partido Verde,1,208786.56003157614
8.0,2.0,1.0,54.0,96805.85518882747,PAN-PRI-PRD,1,103012.70539295222
8.0,7.0,1.0,40.0,63405.43733492907,MORENA-PT-Partido Verde,1,67470.77047926499
8.0,96.0,2.0,33.0,84521.69826096325,Ninguno,1,89940.93162325039
8.0,7.0,1.0,37.0,79367.23372669582,MORENA-PT-Partido Verde,1,84455.98099199774
8.0,7.0,1.0,32.0,56805.663863369184,MORENA-PT-Partido Verde,1,60447.842796224555
8.0,96.0,1.0,47.0,87650.65187124659,Ninguno,1,93270.50270978866
8.0,7.0,1.0,72.0,37725.39990649837,MORENA-PT-Partido Verde,1,40144.21957038748
8.0,7.0,2.0,47.0,68689.05441347824,MORENA-PT-Partido Verde,1,73093.15446068942
8.0,7.0,1.0,68.0,64638.76826417931,MORENA-PT-Partido Verde,1,68783.17824033536
8.0,2.0,1.0,74.0,64638.76826417931,PAN-PRI-PRD,1,68783.17824033536
8.0,96.0,1.0,28.0,118323.9762321268,Ninguno,1,125910.49250840665
8.0,7.0,2.0,33.0,133828.60459191867,MORENA-PT-Partido Verde,1,142409.22298642408
8.0,96.0,1.0,80.0,46758.914886358085,Ninguno,1,49756.931688553945
8.0,6.0,1.0,50.0,66299.5041727169,Movimiento Ciudadano,1,70550.39468140682
8.0,1.0,2.0,48.0,68689.05441347824,PAN-PRI-PRD,1,73093.15446068942
8.0,1.0,1.0,50.0,96805.85518882747,PAN-PRI-PRD,1,103012.70539295222
8.0,7.0,1.0,67.0,44742.75096299734,MORENA-PT-Partido Verde,1,47611.49844119569
8.0,7.0,2.0,60.0,42926.092719569526,MORENA-PT-Partido Verde,1,45678.362474730864
8.0,1.0,2.0,50.0,59277.25770865782,PAN-PRI-PRD,1,63077.90652676155
10.0,7.0,2.0,53.0,69831.09908111095,MORENA-PT-Partido Verde,1,74308.42300682192
10.0,2.0,2.0,32.0,71747.6103873006,PAN-PRI-PRD,1,76347.81426246121
10.0,7.0,1.0,29.0,85594.1547499988,MORENA-PT-Partido Verde,1,91082.15024206517
10.0,7.0,2.0,73.0,42926.092719569526,MORENA-PT-Partido Verde,1,45678.362474730864
10.0,6.0,1.0,26.0,118323.9762321268,Movimiento Ciudadano,1,125910.49250840665
10.0,7.0,1.0,73.0,44269.20538939503,MORENA-PT-Partido Verde,1,47107.590794612945
10.0,2.0,2.0,31.0,160607.44102409767,PAN-PRI-PRD,1,170905.0240180179
10.0,4.0,1.0,76.0,99096.87243074192,MORENA-PT-Partido Verde,1,105450.61458482045
10.0,98.0,2.0,37.0,71747.6103873006,NS,1,76347.81426246121
10.0,7.0,1.0,60.0,32366.373002495715,MORENA-PT-Partido Verde,1,34441.590751313284
14.0,2.0,1.0,38.0,92508.3768756311,PAN-PRI-PRD,1,98439.6879184783
14.0,7.0,1.0,67.0,64638.76826417931,MORENA-PT-Partido Verde,1,68783.17824033536
14.0,4.0,2.0,47.0,49688.84363355261,MORENA-PT-Partido Verde,1,52874.71713932412
14.0,7.0,2.0,33.0,71747.6103873006,MORENA-PT-Partido Verde,1,76347.81426246121
14.0,1.0,2.0,29.0,71982.67411618224,PAN-PRI-PRD,1,76597.94944906351
14.0,98.0,2.0,36.0,84521.69826096325,NS,1,89940.93162325039
14.0,7.0,1.0,28.0,85594.1547499988,MORENA-PT-Partido Verde,1,91082.15024206517
14.0,1.0,2.0,33.0,598183.2678512849,PAN-PRI-PRD,1,636536.6704520324
14.0,7.0,1.0,39.0,92508.3768756311,MORENA-PT-Partido Verde,1,98439.6879184783
14.0,7.0,1.0,39.0,79367.23372669582,MORENA-PT-Partido Verde,1,84455.98099199774
14.0,1.0,2.0,30.0,71747.6103873006,PAN-PRI-PRD,1,76347.81426246121
