estado,voto,genero,edad,ponderado,homo_pon,partido,rango_edad,total
NA,NA,Hombres,63,1176.1738767637844,1450.6551582757245,MORENA-PT-Partido Verde,60-64,-1450.6551582757245
NA,NA,Hombres,71,37399.15043277277,46126.91334355108,MORENA-PT-Partido Verde,65-100,-46126.91334355108
NA,NA,Hombres,42,18341.95478088388,22622.379089867376,PAN-PRI-PRD,40-44,-22622.379089867376
NA,NA,Hombres,60,15147.212223728196,18682.086024821157,PAN-PRI-PRD,60-64,-18682.086024821157
NA,NA,Mujeres,68,27544.7206544816,33972.775530970684,PAN-PRI-PRD,65-100,33972.775530970684
NA,NA,Hombres,42,63243.18723842024,78002.1199294474,PAN-PRI-PRD,40-44,-78002.1199294474
NA,NA,Hombres,58,38527.641584802885,47518.75815757238,MORENA-PT-Partido Verde,55-59,-47518.75815757238
NA,NA,Hombres,55,2598.708497984848,3205.163761865959,MORENA-PT-Partido Verde,55-59,-3205.163761865959
NA,NA,Hombres,58,3409.314818457186,4204.939614191121,PAN-PRI-PRD,55-59,-4204.939614191121
NA,NA,Hombres,61,4641.118540743582,5724.206840763671,MORENA-PT-Partido Verde,60-64,-5724.206840763671
NA,NA,Hombres,55,2598.708497984848,3205.163761865959,MORENA-PT-Partido Verde,55-59,-3205.163761865959
NA,NA,Hombres,64,71412.82740945519,88078.29224503826,MORENA-PT-Partido Verde,60-64,-88078.29224503826
NA,NA,Hombres,43,10649.141857185616,13134.31021682075,PAN-PRI-PRD,40-44,-13134.31021682075
NA,NA,Hombres,56,24747.334136773137,30522.56866804463,PAN-PRI-PRD,55-59,-30522.56866804463
NA,NA,Hombres,60,52260.266308098966,64456.1373028457,MORENA-PT-Partido Verde,60-64,-64456.1373028457
NA,NA,Hombres,49,51990.06420127485,64122.87868540398,PAN-PRI-PRD,45-49,-64122.87868540398
NA,NA,Hombres,49,492.7214889145583,607.7068906290197,MORENA-PT-Partido Verde,45-49,-607.7068906290197
NA,NA,Hombres,63,24604.28596257214,30346.13763528137,MORENA-PT-Partido Verde,60-64,-30346.13763528137
NA,NA,Mujeres,53,22363.197900089795,27582.051455323577,MORENA-PT-Partido Verde,50-54,27582.051455323577
NA,NA,Hombres,58,3409.314818457186,4204.939614191121,PAN-PRI-PRD,55-59,-4204.939614191121
NA,NA,Hombres,60,31.788483155777957,39.206896169614176,MORENA-PT-Partido Verde,60-64,-39.206896169614176
NA,NA,Hombres,61,38289.22796113455,47224.70643630027,MORENA-PT-Partido Verde,60-64,-47224.70643630027
NA,NA,Mujeres,55,5880.869383818922,7253.275791378623,PAN-PRI-PRD,55-59,7253.275791378623
NA,NA,Hombres,60,15147.212223728196,18682.086024821157,PAN-PRI-PRD,60-64,-18682.086024821157
NA,NA,Hombres,40,16402.857308381426,20230.75842352091,MORENA-PT-Partido Verde,40-44,-20230.75842352091
NA,NA,Hombres,70,28450.692424421275,35090.17207180469,PAN-PRI-PRD,65-100,-35090.17207180469
