estado,columnas,total,digitos,min,max,genero,rango_edad,N_estado
10,LISTA_65_Y_MAS_HOMBRES,-95113,65,65,100,Hombres,65-100,DURANGO
10,LISTA_65_Y_MAS_MUJERES,105643,65,65,100,Mujeres,65-100,DURANGO
10,LISTA_65_Y_MAS_NOBINARIO,0,65,65,100,No binario,65-100,DURANGO
11,LISTA_18_HOMBRES,-36651,18,18,18,Hombres,18-18,GUANAJUATO
11,LISTA_18_MUJERES,37858,18,18,18,Mujeres,18-18,GUANAJUATO
11,LISTA_18_NOBINARIO,0,18,18,18,No binario,18-18,GUANAJUATO
11,LISTA_19_HOMBRES,-52301,19,19,19,Hombres,19-19,GUANAJUATO
11,LISTA_19_MUJERES,54265,19,19,19,Mujeres,19-19,GUANAJUATO
11,LISTA_19_NOBINARIO,1,19,19,19,No binario,19-19,GUANAJUATO
11,LISTA_20_24_HOMBRES,-288744,2024,20,24,Hombres,20-24,GUANAJUATO
11,LISTA_20_24_MUJERES,294619,2024,20,24,Mujeres,20-24,GUANAJUATO
11,LISTA_20_24_NOBINARIO,0,2024,20,24,No binario,20-24,GUANAJUATO
11,LISTA_25_29_HOMBRES,-287652,2529,25,29,Hombres,25-29,GUANAJUATO
11,LISTA_25_29_MUJERES,290211,2529,25,29,Mujeres,25-29,GUANAJUATO
11,LISTA_25_29_NOBINARIO,1,2529,25,29,No binario,25-29,GUANAJUATO
11,LISTA_30_34_HOMBRES,-262030,3034,30,34,Hombres,30-34,GUANAJUATO
11,LISTA_30_34_MUJERES,281323,3034,30,34,Mujeres,30-34,GUANAJUATO
11,LISTA_30_34_NOBINARIO,1,3034,30,34,No binario,30-34,GUANAJUATO
11,LISTA_35_39_HOMBRES,-235838,3539,35,39,Hombres,35-39,GUANAJUATO
11,LISTA_35_39_MUJERES,258062,3539,35,39,Mujeres,35-39,GUANAJUATO
11,LISTA_35_39_NOBINARIO,0,3539,35,39,No binario,35-39,GUANAJUATO
11,LISTA_40_44_HOMBRES,-217885,4044,40,44,Hombres,40-44,GUANAJUATO
11,LISTA_40_44_MUJERES,240906,4044,40,44,Mujeres,40-44,GUANAJUATO
11,LISTA_40_44_NOBINARIO,0,4044,40,44,No binario,40-44,GUANAJUATO
11,LISTA_45_49_HOMBRES,-204692,4549,45,49,Hombres,45-49,GUANAJUATO
11,LISTA_45_49_MUJERES,228349,4549,45,49,Mujeres,45-49,GUANAJUATO
11,LISTA_45_49_NOBINARIO,0,4549,45,49,No binario,45-49,GUANAJUATO
11,LISTA_50_54_HOMBRES,-185561,5054,50,54,Hombres,50-54,GUANAJUATO
11,LISTA_50_54_MUJERES,208790,5054,50,54,Mujeres,50-54,GUANAJUATO
11,LISTA_50_54_NOBINARIO,0,5054,50,54,No binario,50-54,GUANAJUATO
11,LISTA_55_59_HOMBRES,-154592,5559,55,59,Hombres,55-59,GUANAJUATO
11,LISTA_55_59_MUJERES,177326,5559,55,59,Mujeres,55-59,GUANAJUATO
11,LISTA_55_59_NOBINARIO,0,5559,55,59,No binario,55-59,GUANAJUATO
