estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon
15.0,9.0,1.0,57.0,87383.35548040883,NS,3,93698.83279073637
15.0,2.0,1.0,61.0,94124.95260360991,MORENA-PT-Partido Verde,3,100927.6669104212
15.0,2.0,1.0,58.0,16814.07823801121,MORENA-PT-Partido Verde,3,18029.2859743408
15.0,2.0,1.0,58.0,20070.3967444399,MORENA-PT-Partido Verde,3,21520.94913570393
21.0,2.0,1.0,52.0,20070.3967444399,MORENA-PT-Partido Verde,3,21520.94913570393
5.0,2.0,1.0,64.0,20241.298191496415,MORENA-PT-Partido Verde,3,21704.202182275632
23.0,2.0,1.0,66.0,18722.510802189747,MORENA-PT-Partido Verde,3,20075.647123329312
15.0,2.0,1.0,50.0,14696.284803765424,MORENA-PT-Partido Verde,3,15758.432769061865
18.0,1.0,1.0,52.0,15083.08474693606,PAN-PRI-PRD,3,16173.18799331893
18.0,8.0,1.0,60.0,129847.2782454765,Ninguno,3,139231.76039380673
17.0,2.0,1.0,50.0,26602.31236596841,MORENA-PT-Partido Verde,3,28524.947394411392
17.0,2.0,1.0,60.0,13701.440142813295,MORENA-PT-Partido Verde,3,14691.687471552557
27.0,2.0,1.0,53.0,16814.07823801121,MORENA-PT-Partido Verde,3,18029.2859743408
7.0,2.0,1.0,57.0,14073.278494475746,MORENA-PT-Partido Verde,3,15090.399781763786
5.0,1.0,1.0,51.0,25050.48589167714,PAN-PRI-PRD,3,26860.96540910694
5.0,1.0,1.0,73.0,27127.66403296722,PAN-PRI-PRD,3,29088.267923038744
5.0,1.0,1.0,52.0,25050.48589167714,PAN-PRI-PRD,3,26860.96540910694
5.0,1.0,1.0,54.0,87189.86422956525,PAN-PRI-PRD,3,93491.35730230279
14.0,2.0,1.0,72.0,17861.584872305055,MORENA-PT-Partido Verde,3,19152.499296080216
5.0,2.0,1.0,76.0,14399.191880167054,MORENA-PT-Partido Verde,3,15439.867980395726
5.0,2.0,1.0,73.0,14399.191880167054,MORENA-PT-Partido Verde,3,15439.867980395726
10.0,2.0,1.0,55.0,31638.319316123932,MORENA-PT-Partido Verde,3,33924.92283093947
2.0,2.0,1.0,65.0,17861.584872305055,MORENA-PT-Partido Verde,3,19152.499296080216
28.0,2.0,1.0,56.0,14821.0465783519,MORENA-PT-Partido Verde,3,15892.211480023298
28.0,2.0,1.0,58.0,17500.503786801462,MORENA-PT-Partido Verde,3,18765.321714394377
28.0,1.0,1.0,63.0,17972.078860155245,PAN-PRI-PRD,3,19270.97904127926
30.0,2.0,1.0,62.0,16814.07823801121,MORENA-PT-Partido Verde,3,18029.2859743408
8.0,2.0,1.0,60.0,15750.858867366043,MORENA-PT-Partido Verde,3,16889.224306048738
16.0,1.0,1.0,65.0,53037.990200350476,PAN-PRI-PRD,3,56871.21704148254
21.0,2.0,1.0,57.0,16814.07823801121,MORENA-PT-Partido Verde,3,18029.2859743408
7.0,9.0,1.0,53.0,23216.705205560444,NS,3,24894.65147050049
7.0,2.0,1.0,56.0,16474.173035571024,MORENA-PT-Partido Verde,3,17664.81472517614
24.0,3.0,1.0,56.0,35557.68627225619,Movimiento Ciudadano,3,38127.55509482075
26.0,2.0,1.0,54.0,12090.827875197307,MORENA-PT-Partido Verde,3,12964.67105378758
8.0,2.0,1.0,80.0,33253.81681840004,MORENA-PT-Partido Verde,3,35657.1775550506
20.0,2.0,1.0,52.0,16474.173035571024,MORENA-PT-Partido Verde,3,17664.81472517614
26.0,1.0,1.0,53.0,82370.53278426686,PAN-PRI-PRD,3,88323.71720913434
14.0,2.0,1.0,76.0,16814.07823801121,MORENA-PT-Partido Verde,3,18029.2859743408
12.0,2.0,1.0,51.0,143576.98469334847,MORENA-PT-Partido Verde,3,153953.7570675723
16.0,2.0,1.0,58.0,17861.584872305055,MORENA-PT-Partido Verde,3,19152.499296080216
21.0,2.0,1.0,54.0,16814.07823801121,MORENA-PT-Partido Verde,3,18029.2859743408
5.0,2.0,1.0,60.0,17861.584872305055,MORENA-PT-Partido Verde,3,19152.499296080216
5.0,2.0,1.0,55.0,31638.319316123932,MORENA-PT-Partido Verde,3,33924.92283093947
10.0,9.0,1.0,66.0,38654.926874309385,NS,3,41448.643277907584
30.0,2.0,1.0,53.0,155046.30921764305,MORENA-PT-Partido Verde,3,166252.00671610527
30.0,2.0,1.0,66.0,39289.68109485718,MORENA-PT-Partido Verde,3,42129.27323595098
14.0,2.0,1.0,60.0,13465.886980120453,MORENA-PT-Partido Verde,3,14439.110121058915
28.0,2.0,1.0,50.0,17861.584872305055,MORENA-PT-Partido Verde,3,19152.499296080216
21.0,2.0,1.0,52.0,36600.356061819395,MORENA-PT-Partido Verde,3,39245.581997439964
14.0,2.0,1.0,62.0,32581.573881406064,MORENA-PT-Partido Verde,3,34936.34944995141
14.0,2.0,1.0,65.0,89427.0292273061,MORENA-PT-Partido Verde,3,95890.20943948816
14.0,1.0,1.0,69.0,101061.16629523526,PAN-PRI-PRD,3,108365.18316645612
14.0,2.0,1.0,62.0,20484.501431439592,MORENA-PT-Partido Verde,3,21964.98250580887
14.0,2.0,1.0,70.0,63166.23090959324,MORENA-PT-Partido Verde,3,67731.45841653972
19.0,2.0,1.0,59.0,12814.514388284812,MORENA-PT-Partido Verde,3,13740.660728364675
19.0,2.0,1.0,76.0,23895.65297019416,MORENA-PT-Partido Verde,3,25622.66898278658
19.0,3.0,1.0,52.0,20857.357361102186,Movimiento Ciudadano,3,22364.785937668647
24.0,2.0,1.0,51.0,34611.38570417685,MORENA-PT-Partido Verde,3,37112.86232855219
7.0,1.0,1.0,66.0,39788.42215512868,PAN-PRI-PRD,3,42664.05992336231
20.0,2.0,1.0,76.0,20070.3967444399,MORENA-PT-Partido Verde,3,21520.94913570393
