estado,voto,genero,edad,ponderado,homo_pon,partido
27,7,1,22,66644.62328996562,67912.57419872245,MORENA-PT-Partido Verde
27,3,2,35,100828.72928499657,102747.0517634576,PAN-PRI-PRD
27,7,1,53,54680.20698234594,55720.52823725978,MORENA-PT-Partido Verde
27,7,1,34,92272.44547337314,94027.97990834372,MORENA-PT-Partido Verde
27,7,2,55,67851.86330302259,69142.78262237397,MORENA-PT-Partido Verde
27,2,1,46,100379.29917579728,102289.07099724725,PAN-PRI-PRD
27,6,2,45,93727.16990744397,95510.38128133498,Movimiento Ciudadano
27,7,2,40,98415.10919084177,100287.51120879599,MORENA-PT-Partido Verde
9,7,1,49,24924.965214926822,25399.17649762091,MORENA-PT-Partido Verde
9,6,1,61,64363.72082017694,65588.27629481493,Movimiento Ciudadano
9,7,1,36,33717.80967054119,34359.30969413708,MORENA-PT-Partido Verde
9,7,2,54,29431.98881005593,29991.948715536408,MORENA-PT-Partido Verde
9,95,1,22,44998.726445056614,45854.852164916454,Ninguno
9,7,2,34,30744.944422797736,31329.884036770076,MORENA-PT-Partido Verde
9,7,2,76,119668.84782584506,121945.61400532331,MORENA-PT-Partido Verde
9,7,2,42,16231.346184243535,16540.15654476,MORENA-PT-Partido Verde
9,7,2,59,21729.026640123844,22142.433419465557,MORENA-PT-Partido Verde
9,1,1,54,50909.82471803756,51878.41235990972,PAN-PRI-PRD
19,1,1,37,16815.244292256873,17135.16363801669,PAN-PRI-PRD
19,7,2,26,17071.75317389675,17396.552743349395,MORENA-PT-Partido Verde
19,7,1,33,9196.087152467437,9371.047809252088,MORENA-PT-Partido Verde
19,1,1,63,29336.777017439534,29894.925465775945,PAN-PRI-PRD
19,6,2,36,10370.385769551252,10567.68810860793,Movimiento Ciudadano
19,7,2,31,9355.255760693813,9533.24468849994,MORENA-PT-Partido Verde
19,7,1,45,9483.67626322246,9664.108462291082,MORENA-PT-Partido Verde
19,7,2,65,16792.352206515177,17111.836017651392,MORENA-PT-Partido Verde
19,99,2,24,7968.485461199497,8120.090315172237,
19,4,1,18,28960.265179453207,29511.250281317458,MORENA-PT-Partido Verde
19,7,2,57,11989.76893850943,12217.880940211697,MORENA-PT-Partido Verde
4,7,1,51,161681.48321235817,164757.56307368926,MORENA-PT-Partido Verde
