"estado","columnas","total","digitos","min","max","genero"
11,"LISTA_55_59_NOBINARIO",0,"5559","55","59",9
11,"LISTA_60_64_HOMBRES",127134,"6064","60","64",1
11,"LISTA_60_64_MUJERES",146624,"6064","60","64",2
11,"LISTA_60_64_NOBINARIO",0,"6064","60","64",9
11,"LISTA_65_Y_MAS_HOMBRES",279356,"65","65","100",1
11,"LISTA_65_Y_MAS_MUJERES",331836,"65","65","100",2
11,"LISTA_65_Y_MAS_NOBINARIO",0,"65","65","100",9
12,"LISTA_18_HOMBRES",16186,"18","18","18",1
12,"LISTA_18_MUJERES",17732,"18","18","18",2
12,"LISTA_18_NOBINARIO",0,"18","18","18",9
12,"LISTA_19_HOMBRES",27747,"19","19","19",1
12,"LISTA_19_MUJERES",30008,"19","19","19",2
12,"LISTA_19_NOBINARIO",0,"19","19","19",9
12,"LISTA_20_24_HOMBRES",158868,"2024","20","24",1
12,"LISTA_20_24_MUJERES",168110,"2024","20","24",2
12,"LISTA_20_24_NOBINARIO",0,"2024","20","24",9
12,"LISTA_25_29_HOMBRES",159922,"2529","25","29",1
12,"LISTA_25_29_MUJERES",167143,"2529","25","29",2
12,"LISTA_25_29_NOBINARIO",0,"2529","25","29",9
12,"LISTA_30_34_HOMBRES",137230,"3034","30","34",1
12,"LISTA_30_34_MUJERES",152908,"3034","30","34",2
12,"LISTA_30_34_NOBINARIO",0,"3034","30","34",9
12,"LISTA_35_39_HOMBRES",122692,"3539","35","39",1
12,"LISTA_35_39_MUJERES",136076,"3539","35","39",2
12,"LISTA_35_39_NOBINARIO",0,"3539","35","39",9
12,"LISTA_40_44_HOMBRES",113502,"4044","40","44",1
12,"LISTA_40_44_MUJERES",124827,"4044","40","44",2
12,"LISTA_40_44_NOBINARIO",0,"4044","40","44",9
12,"LISTA_45_49_HOMBRES",107073,"4549","45","49",1
12,"LISTA_45_49_MUJERES",118403,"4549","45","49",2
12,"LISTA_45_49_NOBINARIO",0,"4549","45","49",9
12,"LISTA_50_54_HOMBRES",96039,"5054","50","54",1
12,"LISTA_50_54_MUJERES",107810,"5054","50","54",2
12,"LISTA_50_54_NOBINARIO",0,"5054","50","54",9
12,"LISTA_55_59_HOMBRES",82244,"5559","55","59",1
12,"LISTA_55_59_MUJERES",94100,"5559","55","59",2
12,"LISTA_55_59_NOBINARIO",0,"5559","55","59",9
12,"LISTA_60_64_HOMBRES",71557,"6064","60","64",1
12,"LISTA_60_64_MUJERES",82470,"6064","60","64",2
12,"LISTA_60_64_NOBINARIO",0,"6064","60","64",9
12,"LISTA_65_Y_MAS_HOMBRES",180085,"65","65","100",1
12,"LISTA_65_Y_MAS_MUJERES",213282,"65","65","100",2
12,"LISTA_65_Y_MAS_NOBINARIO",0,"65","65","100",9
13,"LISTA_18_HOMBRES",18506,"18","18","18",1
13,"LISTA_18_MUJERES",19376,"18","18","18",2
13,"LISTA_18_NOBINARIO",0,"18","18","18",9
13,"LISTA_19_HOMBRES",26284,"19","19","19",1
13,"LISTA_19_MUJERES",26949,"19","19","19",2
13,"LISTA_19_NOBINARIO",0,"19","19","19",9
13,"LISTA_20_24_HOMBRES",138010,"2024","20","24",1
13,"LISTA_20_24_MUJERES",139748,"2024","20","24",2
13,"LISTA_20_24_NOBINARIO",1,"2024","20","24",9
13,"LISTA_25_29_HOMBRES",128557,"2529","25","29",1
13,"LISTA_25_29_MUJERES",131951,"2529","25","29",2
13,"LISTA_25_29_NOBINARIO",0,"2529","25","29",9
13,"LISTA_30_34_HOMBRES",120323,"3034","30","34",1
13,"LISTA_30_34_MUJERES",134720,"3034","30","34",2
13,"LISTA_30_34_NOBINARIO",0,"3034","30","34",9
13,"LISTA_35_39_HOMBRES",111543,"3539","35","39",1
13,"LISTA_35_39_MUJERES",127880,"3539","35","39",2
13,"LISTA_35_39_NOBINARIO",0,"3539","35","39",9
13,"LISTA_40_44_HOMBRES",107944,"4044","40","44",1
13,"LISTA_40_44_MUJERES",124216,"4044","40","44",2
13,"LISTA_40_44_NOBINARIO",0,"4044","40","44",9
13,"LISTA_45_49_HOMBRES",102378,"4549","45","49",1
13,"LISTA_45_49_MUJERES",117006,"4549","45","49",2
13,"LISTA_45_49_NOBINARIO",0,"4549","45","49",9
13,"LISTA_50_54_HOMBRES",93154,"5054","50","54",1
13,"LISTA_50_54_MUJERES",106397,"5054","50","54",2
13,"LISTA_50_54_NOBINARIO",0,"5054","50","54",9
13,"LISTA_55_59_HOMBRES",76788,"5559","55","59",1
13,"LISTA_55_59_MUJERES",89311,"5559","55","59",2
13,"LISTA_55_59_NOBINARIO",0,"5559","55","59",9
13,"LISTA_60_64_HOMBRES",64441,"6064","60","64",1
13,"LISTA_60_64_MUJERES",74809,"6064","60","64",2
13,"LISTA_60_64_NOBINARIO",0,"6064","60","64",9
13,"LISTA_65_Y_MAS_HOMBRES",147694,"65","65","100",1
13,"LISTA_65_Y_MAS_MUJERES",175625,"65","65","100",2
13,"LISTA_65_Y_MAS_NOBINARIO",0,"65","65","100",9
14,"LISTA_18_HOMBRES",49870,"18","18","18",1
14,"LISTA_18_MUJERES",50177,"18","18","18",2
14,"LISTA_18_NOBINARIO",2,"18","18","18",9
14,"LISTA_19_HOMBRES",69732,"19","19","19",1
14,"LISTA_19_MUJERES",70160,"19","19","19",2
14,"LISTA_19_NOBINARIO",2,"19","19","19",9
14,"LISTA_20_24_HOMBRES",381448,"2024","20","24",1
14,"LISTA_20_24_MUJERES",380277,"2024","20","24",2
14,"LISTA_20_24_NOBINARIO",11,"2024","20","24",9
14,"LISTA_25_29_HOMBRES",377769,"2529","25","29",1
14,"LISTA_25_29_MUJERES",371305,"2529","25","29",2
14,"LISTA_25_29_NOBINARIO",4,"2529","25","29",9
14,"LISTA_30_34_HOMBRES",358318,"3034","30","34",1
14,"LISTA_30_34_MUJERES",359833,"3034","30","34",2
14,"LISTA_30_34_NOBINARIO",3,"3034","30","34",9
14,"LISTA_35_39_HOMBRES",334180,"3539","35","39",1
14,"LISTA_35_39_MUJERES",341930,"3539","35","39",2
14,"LISTA_35_39_NOBINARIO",2,"3539","35","39",9
14,"LISTA_40_44_HOMBRES",309243,"4044","40","44",1
14,"LISTA_40_44_MUJERES",320376,"4044","40","44",2
14,"LISTA_40_44_NOBINARIO",1,"4044","40","44",9
14,"LISTA_45_49_HOMBRES",283754,"4549","45","49",1
14,"LISTA_45_49_MUJERES",301416,"4549","45","49",2
14,"LISTA_45_49_NOBINARIO",0,"4549","45","49",9
14,"LISTA_50_54_HOMBRES",269878,"5054","50","54",1
14,"LISTA_50_54_MUJERES",289523,"5054","50","54",2
14,"LISTA_50_54_NOBINARIO",0,"5054","50","54",9
14,"LISTA_55_59_HOMBRES",221011,"5559","55","59",1
14,"LISTA_55_59_MUJERES",246455,"5559","55","59",2
14,"LISTA_55_59_NOBINARIO",0,"5559","55","59",9
14,"LISTA_60_64_HOMBRES",184176,"6064","60","64",1
14,"LISTA_60_64_MUJERES",208848,"6064","60","64",2
14,"LISTA_60_64_NOBINARIO",0,"6064","60","64",9
14,"LISTA_65_Y_MAS_HOMBRES",415612,"65","65","100",1
14,"LISTA_65_Y_MAS_MUJERES",499709,"65","65","100",2
14,"LISTA_65_Y_MAS_NOBINARIO",0,"65","65","100",9
15,"LISTA_18_HOMBRES",103757,"18","18","18",1
15,"LISTA_18_MUJERES",104077,"18","18","18",2
15,"LISTA_18_NOBINARIO",0,"18","18","18",9
15,"LISTA_19_HOMBRES",144168,"19","19","19",1
15,"LISTA_19_MUJERES",144649,"19","19","19",2
15,"LISTA_19_NOBINARIO",2,"19","19","19",9
15,"LISTA_20_24_HOMBRES",777622,"2024","20","24",1
15,"LISTA_20_24_MUJERES",775933,"2024","20","24",2
15,"LISTA_20_24_NOBINARIO",0,"2024","20","24",9
15,"LISTA_25_29_HOMBRES",738777,"2529","25","29",1
15,"LISTA_25_29_MUJERES",738993,"2529","25","29",2
15,"LISTA_25_29_NOBINARIO",1,"2529","25","29",9
15,"LISTA_30_34_HOMBRES",707869,"3034","30","34",1
15,"LISTA_30_34_MUJERES",745656,"3034","30","34",2
15,"LISTA_30_34_NOBINARIO",0,"3034","30","34",9
15,"LISTA_35_39_HOMBRES",631282,"3539","35","39",1
15,"LISTA_35_39_MUJERES",685362,"3539","35","39",2
15,"LISTA_35_39_NOBINARIO",0,"3539","35","39",9
15,"LISTA_40_44_HOMBRES",593645,"4044","40","44",1
15,"LISTA_40_44_MUJERES",663584,"4044","40","44",2
15,"LISTA_40_44_NOBINARIO",1,"4044","40","44",9
15,"LISTA_45_49_HOMBRES",561730,"4549","45","49",1
15,"LISTA_45_49_MUJERES",641961,"4549","45","49",2
15,"LISTA_45_49_NOBINARIO",0,"4549","45","49",9
15,"LISTA_50_54_HOMBRES",522973,"5054","50","54",1
15,"LISTA_50_54_MUJERES",604774,"5054","50","54",2
15,"LISTA_50_54_NOBINARIO",0,"5054","50","54",9
